accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
10452430,Lepidoptera,Erebidae,Concana,Concana hoshea,,Concana hoshea,Concana hoshea,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1764103,Lepidoptera,Erebidae,Concana,Concana intricata,,Concana intricata,Concana intricata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1764108,Lepidoptera,Erebidae,Concana,Concana lecta,,Concana lecta,Concana lecta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1764102,Lepidoptera,Erebidae,Concana,Concana lepida,,Concana lepida,Concana lepida,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Concana magnetica,,Concana magnetica,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1764107,Lepidoptera,Erebidae,Concana,Concana mundissima,,Concana mundissima,Concana mundissima,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1764104,Lepidoptera,Erebidae,Concana,Concana permixta,,Concana permixta,Concana permixta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791105,Lepidoptera,Erebidae,Diopa,Diopa corone,,Diopa corone,Diopa corone,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791106,Lepidoptera,Erebidae,Diopa,Diopa creta,,Diopa creta,Diopa creta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791104,Lepidoptera,Erebidae,Diopa,Diopa furcula,,Diopa furcula,Diopa furcula,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1792659,Lepidoptera,Erebidae,Encruphion,Encruphion leena,,Encruphion leena,Encruphion leena,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1792660,Lepidoptera,Erebidae,Encruphion,Encruphion porrima,,Encruphion porrima,Encruphion porrima,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1792661,Lepidoptera,Erebidae,Encruphion,Encruphion xanthotricha,,Encruphion xanthotricha,Encruphion xanthotricha,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782069,Lepidoptera,Noctuidae,Parangitia,Parangitia atys,,Parangitia atys,Parangitia atys,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782071,Lepidoptera,Noctuidae,Parangitia,Parangitia chlorosticta,,Parangitia chlorosticta,Parangitia chlorosticta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782064,Lepidoptera,Noctuidae,Parangitia,Parangitia circumcincta,,Parangitia circumcincta,Parangitia circumcincta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782079,Lepidoptera,Noctuidae,Parangitia,Parangitia corma,,Parangitia corma,Parangitia corma,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782072,Lepidoptera,Noctuidae,Parangitia,Parangitia diaperas,,Parangitia diaperas,Parangitia diaperas,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782080,Lepidoptera,Noctuidae,Parangitia,Parangitia grisescens,,Parangitia grisescens,Parangitia grisescens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782065,Lepidoptera,Noctuidae,Parangitia,Parangitia guanacaste,,Parangitia guanacaste,Parangitia guanacaste,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782075,Lepidoptera,Noctuidae,Parangitia,Parangitia subrufescens,,Parangitia subrufescens,Parangitia subrufescens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1782070,Lepidoptera,Noctuidae,Parangitia,Parangitia temperata,,Parangitia temperata,Parangitia temperata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1762127,Lepidoptera,Noctuidae,Prasinopyra,Prasinopyra metaleuca,,Prasinopyra metaleuca,Prasinopyra metaleuca,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1775295,Lepidoptera,Noctuidae,Vespola,Vespola caeruleifera,,Vespola caeruleifera,Vespola caeruleifera,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1775294,Lepidoptera,Noctuidae,Vespola,Vespola plumipes,,Vespola plumipes,Vespola plumipes,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
