accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1993532,Lepidoptera,Thyrididae,Striglina,Striglina fidelia,Striglina fidelia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1993496,Lepidoptera,Thyrididae,Striglina,Striglina scitaria,Striglina scitaria,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1993008,Lepidoptera,Thyrididae,Telchines,Telchines vialis,Telchines vialis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1857380,Lepidoptera,Tineidae,Erechthias,Erechthias zebrina,Erechthias zebrina,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1858557,Lepidoptera,Tineidae,Pyloetis,Pyloetis mimosae,Pyloetis mimosae,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1855678,Lepidoptera,Tineidae,Phaeoses,Phaeoses leucodeta,Phaeoses leucodeta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1858283,Lepidoptera,Tineidae,Phereoeca,Phereoeca uterella,Phereoeca uterella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1858163,Lepidoptera,Tineidae,Tinea,Tinea pellionella,Tinea pellionella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1857626,Lepidoptera,Tineidae,Tineola,Tineola bisselliella,Tineola bisselliella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1737015,Lepidoptera,Tortricidae,Cryptophlebia,Cryptophlebia ombrodelta,Cryptophlebia ombrodelta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1738194,Lepidoptera,Tortricidae,Dactylioglypha,Dactylioglypha pallens,Dactylioglypha pallens,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1740828,Lepidoptera,Tortricidae,Dudua,Dudua aprobola,Dudua aprobola,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1746714,Lepidoptera,Tortricidae,Gatesclarkeana,Gatesclarkeana idia,Gatesclarkeana idia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1736469,Lepidoptera,Tortricidae,Grapholita,Grapholita comanticosta,Grapholita comanticosta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1736499,Lepidoptera,Tortricidae,Grapholita,Grapholita delineana,Grapholita delineana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1740524,Lepidoptera,Tortricidae,Lobesia,Lobesia aeolopa,Lobesia aeolopa,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1740797,Lepidoptera,Tortricidae,Loboschiza,Loboschiza koenigiana,Loboschiza koenigiana,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10509613,Lepidoptera,Tortricidae,Ophiorrhabda,Ophiorrhabda mormopa,Ophiorrhabda mormopa,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
