accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1891863,Lepidoptera,Crambidae,Lamprosema,Lamprosema pelealis,,Lamprosema pelealis,Lamprosema pelealis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1891755,Lepidoptera,Crambidae,Lamprosema,Lamprosema victoriae,,Lamprosema victoriae,Lamprosema victoriae,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,750
1887634,Lepidoptera,Crambidae,Ommatospila,Ommatospila narcaeusalis,,Ommatospila narcaeusalis,Ommatospila narcaeusalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,561
5126663,Lepidoptera,Crambidae,Syllepis,Syllepis hortalis,,Syllepis hortalis,Syllepis marialis,99,SYNONYM,EXACT,SPECIES,London19Oct2023,51
1886374,Lepidoptera,Crambidae,Hymenia,Hymenia perspectalis,,Hymenia perspectalis,Hymenia perspectalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1000
1886251,Lepidoptera,Crambidae,Spoladea,Spoladea recurvalis,,Spoladea recurvalis,Spoladea recurvalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1000
1891101,Lepidoptera,Crambidae,Atomopteryx,Atomopteryx solanalis,,Atomopteryx solanalis,Atomopteryx solanalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1889377,Lepidoptera,Crambidae,Euleucinodes,Euleucinodes conifrons,,Euleucinodes conifrons,Euleucinodes conifrons,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,12
1892424,Lepidoptera,Crambidae,Lineodes,Lineodes aztecalis,,Lineodes aztecalis,Lineodes aztecalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1892427,Lepidoptera,Crambidae,Lineodes,Lineodes integra,,Lineodes integra,Lineodes integra,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1000
1892420,Lepidoptera,Crambidae,Lineodes,Lineodes vulnifica,,Lineodes vulnifica,Lineodes vulnifica,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,92
1886480,Lepidoptera,Crambidae,Lipocosma,Neoleucinodes alegralis,,Neoleucinodes alegralis,Lipocosma alegralis,99,SYNONYM,EXACT,SPECIES,London19Oct2023,8
1881081,Lepidoptera,Crambidae,Neoleucinodes,Neoleucinodes imperialis,,Neoleucinodes imperialis,Neoleucinodes imperialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1881084,Lepidoptera,Crambidae,Neoleucinodes,Neoleucinodes prophetica,,Neoleucinodes prophetica,Neoleucinodes prophetica,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,3
1881082,Lepidoptera,Crambidae,Neoleucinodes,Neoleucinodes torvis,,Neoleucinodes torvis,Neoleucinodes torvis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1884733,Lepidoptera,Crambidae,Proleucinodes,Proleucinodes xylopastalis,,Proleucinodes xylopastalis,Proleucinodes xylopastalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885685,Lepidoptera,Crambidae,Rhectosemia,Rhectosemia multifarialis,,Rhectosemia multifarialis,Rhectosemia multifarialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1885690,Lepidoptera,Crambidae,Rhectosemia,Rhectosemia viriditincta,,Rhectosemia viriditincta,Rhectosemia viriditincta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
5127090,Lepidoptera,Crambidae,Agathodes,Agathodes designalis,,Agathodes designalis,Agathodes designalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,63
5127089,Lepidoptera,Crambidae,Agathodes,Agathodes monstralis,,Agathodes monstralis,Agathodes monstralis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,153
1889224,Lepidoptera,Crambidae,Anarmodia,Anarmodia inflexalis,,Anarmodia inflexalis,Anarmodia inflexalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,2
8881153,Lepidoptera,Crambidae,Anarmodia,Anarmodia nebulosalis,,Anarmodia nebulosalis,Anarmodia nebulosalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,6
1889227,Lepidoptera,Crambidae,Anarmodia,Anarmodia remotalis,,Anarmodia remotalis,Anarmodia remotalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1889216,Lepidoptera,Crambidae,Anarmodia,Anarmodia repandalis,,Anarmodia repandalis,Anarmodia repandalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,5
10682107,Lepidoptera,Crambidae,Asturodes,Asturodes bioalfae,,Asturodes bioalfae,Asturodes bioalfae,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,3
10779153,Lepidoptera,Crambidae,Asturodes,Asturodes encisoensis,,Asturodes encisoensis,Asturodes encisoensis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1889522,Lepidoptera,Crambidae,Asturodes,Asturodes fimbriauralis,,Asturodes fimbriauralis,Asturodes fimbriauralis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,31
10833398,Lepidoptera,Crambidae,Asturodes,Asturodes junkoshimurae,,Asturodes junkoshimurae,Asturodes junkoshimurae,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,6
1881817,Lepidoptera,Crambidae,Azochis,Azochis curvilinealis,,Azochis curvilinealis,Azochis curvilinealis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,7
1881813,Lepidoptera,Crambidae,Azochis,Azochis mactalis,,Azochis mactalis,Azochis pieralis,99,SYNONYM,EXACT,SPECIES,London19Oct2023,10
1881812,Lepidoptera,Crambidae,Azochis,Azochis oncalis,,Azochis oncalis,Azochis oncalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1881819,Lepidoptera,Crambidae,Azochis,Azochis ruscialis,,Azochis ruscialis,Azochis ruscialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1888397,Lepidoptera,Crambidae,Caprinia,Caprinia periusalis,,Caprinia periusalis,Caprinia periusalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,24
1892355,Lepidoptera,Crambidae,Compacta,Compacta hirtalis,,Compacta hirtalis,Compacta hirtalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,72
