,accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1110,10546013,Lepidoptera,Psychidae,Lepidoscia,Lepidoscia protorna,,Lepidoscia protorna,Lepidoscia protorna,99,ACCEPTED,EXACT,SPECIES,London06October2023,156
1111,12238020,Lepidoptera,Psychidae,Pagodiella,Pagodiella hekmeyeri,,Pagodiella hekmeyeri,Pagodiella heckmeyeri,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1112,1858967,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus planeta,"Meyrick, 1908",Deuterocopus planeta,Deuterocopus planeta,99,ACCEPTED,EXACT,SPECIES,London06October2023,9
1113,1858947,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus ritsemae,"Walsingham, 1884",Deuterocopus ritsemae,Deuterocopus ritsemae,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1114,1858953,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus socotranus,,Deuterocopus socotranus,Deuterocopus socotranus,99,ACCEPTED,EXACT,SPECIES,London06October2023,24
1115,1859453,Lepidoptera,Pterophoridae,Diacrotricha,Diacrotricha fasciola,"Zeller, 1851",Diacrotricha fasciola,Diacrotricha fasciola,99,ACCEPTED,EXACT,SPECIES,London06October2023,77
1116,6133397,Lepidoptera,Pterophoridae,Exelastis,Exelastis pumilio,,Exelastis pumilio,Exelastis pumilio,99,ACCEPTED,EXACT,SPECIES,London06October2023,161
1117,9749806,Lepidoptera,Pterophoridae,Nippoptilia,Nippoptilia cinctipedalis,,Nippoptilia cinctipedalis,Nippoptilia cinctipedalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,116
1118,5123180,Lepidoptera,Pterophoridae,Pterophorus,Pterophorus lacteipennis,"Walker,1864",Pterophorus lacteipennis,Pterophorus lacteipennis,99,ACCEPTED,EXACT,SPECIES,London06October2023,94
1119,1859932,Lepidoptera,Pterophoridae,Sphenarches,Sphenarches anisodactylus,,Sphenarches anisodactylus,Sphenarches anisodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1120,1859935,Lepidoptera,Pterophoridae,Sphenarches,Sphenarches zanclistes,"Meyrick, 1905",Sphenarches zanclistes,Sphenarches zanclistes,99,ACCEPTED,EXACT,SPECIES,London06October2023,18
1121,1860026,Lepidoptera,Pterophoridae,Stenoptilodes,Stenoptilodes taprobanes,,Stenoptilodes taprobanes,Stenoptilodes taprobanes,99,ACCEPTED,EXACT,SPECIES,London06October2023,236
1122,1860079,Lepidoptera,Pterophoridae,Xyroptila,Xyroptila oenophanes,,Xyroptila oenophanes,Xyroptila oenophanes,99,ACCEPTED,EXACT,SPECIES,London06October2023,26
1123,1875571,Lepidoptera,Pyralidae,Stericta,Stericta sectilis,,Stericta sectilis,Stericta sectilis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1124,1870237,Lepidoptera,Pyralidae,Doloessa,Doloessa viridis,,Doloessa viridis,Doloessa viridis,99,ACCEPTED,EXACT,SPECIES,London06October2023,125
1125,1876542,Lepidoptera,Pyralidae,Galleria,Galleria mellonella,,Galleria mellonella,Galleria mellonella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1126,1873843,Lepidoptera,Pyralidae,Tirathaba,Tirathaba rufivena,,Tirathaba rufivena,Tirathaba rufivena,99,ACCEPTED,EXACT,SPECIES,London06October2023,146
1127,1873861,Lepidoptera,Pyralidae,Tirathaba,Tirathaba ruptilinea,,Tirathaba ruptilinea,Tirathaba ruptilinea,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1128,5884888,Lepidoptera,Pyralidae,Ectomyelois,Ectomyelois ceratoniae,,Ectomyelois ceratoniae,Ectomyelois ceratoniae,99,ACCEPTED,EXACT,SPECIES,London06October2023,366
1129,1878470,Lepidoptera,Pyralidae,Ephestia,Ephestia elutella,,Ephestia elutella,Ephestia elutella,99,ACCEPTED,EXACT,SPECIES,London06October2023,137
1130,1875483,Lepidoptera,Pyralidae,Ephestiodes,Ephestiodes infimella,,Ephestiodes infimella,Ephestiodes infimella,99,ACCEPTED,EXACT,SPECIES,London06October2023,282
1131,1877788,Lepidoptera,Pyralidae,Canthelea,Epicrocis oegnusalis,,Epicrocis oegnusalis,Canthelea oegnusalis,99,SYNONYM,EXACT,SPECIES,London06October2023,24
1132,1873626,Lepidoptera,Pyralidae,Indomyrlaea,Indomyrlaea ferreotincta,"Hampson, 1912",Indomyrlaea ferreotincta,Indomyrlaea ferreotincta,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1133,1873079,Lepidoptera,Pyralidae,Plodia,Plodia interpunctella,,Plodia interpunctella,Plodia interpunctella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1134,1871468,Lepidoptera,Pyralidae,Pseudodavara,Pseudodavara haemaphoralis,,Pseudodavara haemaphoralis,Pseudodavara haemaphoralis,99,ACCEPTED,EXACT,SPECIES,London06October2023,29
1135,5125602,Lepidoptera,Pyralidae,Endotricha,Endotricha mesenterialis,"Walker, 1859",Endotricha mesenterialis,Endotricha mesenterialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1136,1871407,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia costalis,,Hypsopygia costalis,Hypsopygia costalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1137,1871397,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia mauritialis,,Hypsopygia mauritialis,Hypsopygia mauritialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,35
1138,11852179,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia nigrivitta,,Hypsopygia nigrivitta,Hypsopygia nigrivitta,99,ACCEPTED,EXACT,SPECIES,London06October2023,8
1139,1870059,Lepidoptera,Pyralidae,Macna,Macna platychloralis,,Macna platychloralis,Macna platychloralis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1140,1872901,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis,,Pyralis farinalis,Pyralis farinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1141,1872873,Lepidoptera,Pyralidae,Pyralis,Pyralis manihotalis,,Pyralis manihotalis,Pyralis manihotalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,171
1142,1872850,Lepidoptera,Pyralidae,Pyralis,Pyralis pictalis,,Pyralis pictalis,Pyralis pictalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,167
1143,5124716,Lepidoptera,Saturniidae,Attacus,Attacus atlas,"Linnaeus,1758",Attacus atlas,Attacus atlas,99,ACCEPTED,EXACT,SPECIES,London06October2023,673
1144,1867928,Lepidoptera,Saturniidae,Saturnia,Saturnia pyri,,Saturnia pyri,Saturnia pyri,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1145,5120278,Lepidoptera,Scythrididae,Eretmocera,Eretmocera impactella,,Eretmocera impactella,Eretmocera impactella,99,ACCEPTED,EXACT,SPECIES,London06October2023,140
1146,11901335,Lepidoptera,Sesiidae,Tyrictaca,Tyrictaca pulchra,,Tyrictaca pulchra,Tyrictaca pulchra,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1147,1861933,Lepidoptera,Sphingidae,Acosmeryx,Acosmeryx shervillii,,Acosmeryx shervillii,Acosmeryx shervillii,99,ACCEPTED,EXACT,SPECIES,London06October2023,46
1148,1863354,Lepidoptera,Sphingidae,Angonyx,Angonyx testacea,,Angonyx testacea,Angonyx testacea,99,ACCEPTED,EXACT,SPECIES,London06October2023,133
1149,1863467,Lepidoptera,Sphingidae,Cechenena,Cechenena helops,,Cechenena helops,Cechenena helops,99,ACCEPTED,EXACT,SPECIES,London06October2023,88
1150,1863034,Lepidoptera,Sphingidae,Cephonodes,Cephonodes hylas,,Cephonodes hylas,Cephonodes hylas,98,ACCEPTED,EXACT,SPECIES,London06October2023,482
1151,1862394,Lepidoptera,Sphingidae,Daphnis,Daphnis hypothous,"Cramer, 1780",Daphnis hypothous,Daphnis hypothous,98,ACCEPTED,EXACT,SPECIES,London06October2023,349
1152,1862401,Lepidoptera,Sphingidae,Daphnis,Daphnis nerii,"Linnaeus,1758",Daphnis nerii,Daphnis nerii,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1153,1863646,Lepidoptera,Sphingidae,Elibia,Elibia dolichus,"Westwood,1847",Elibia dolichus,Elibia dolichus,99,ACCEPTED,EXACT,SPECIES,London06October2023,130
1154,1863388,Lepidoptera,Sphingidae,Enpinanga,Enpinanga borneensis,"Butler,1879",Enpinanga borneensis,Enpinanga borneensis,99,ACCEPTED,EXACT,SPECIES,London06October2023,35
1155,1863393,Lepidoptera,Sphingidae,Enpinanga,Enpinanga vigens,,Enpinanga vigens,Enpinanga vigens,99,ACCEPTED,EXACT,SPECIES,London06October2023,11
1156,1863904,Lepidoptera,Sphingidae,Eupanacra,Eupanacra elegantulus,,Eupanacra elegantulus,Eupanacra elegantulus,99,ACCEPTED,EXACT,SPECIES,London06October2023,52
1157,1863910,Lepidoptera,Sphingidae,Eupanacra,Eupanacra mydon,,Eupanacra mydon,Eupanacra mydon,99,ACCEPTED,EXACT,SPECIES,London06October2023,41
1158,1863907,Lepidoptera,Sphingidae,Eupanacra,Eupanacra regularis,,Eupanacra regularis,Eupanacra regularis,99,ACCEPTED,EXACT,SPECIES,London06October2023,27
1159,5124059,Lepidoptera,Sphingidae,Eurypteryx,Eurypteryx bhaga,"Moore,1865",Eurypteryx bhaga,Eurypteryx bhaga,99,ACCEPTED,EXACT,SPECIES,London06October2023,16
1160,1862318,Lepidoptera,Sphingidae,Hippotion,Hippotion boerhaviae,,Hippotion boerhaviae,Hippotion boerhaviae,99,ACCEPTED,EXACT,SPECIES,London06October2023,32
1161,1862293,Lepidoptera,Sphingidae,Hippotion,Hippotion celerio,,Hippotion celerio,Hippotion celerio,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1162,1862328,Lepidoptera,Sphingidae,Hippotion,Hippotion echeclus,,Hippotion echeclus,Hippotion echeclus,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1163,1862363,Lepidoptera,Sphingidae,Hippotion,Hippotion rosetta,"Swinhoe, 1892",Hippotion rosetta,Hippotion rosetta,99,ACCEPTED,EXACT,SPECIES,London06October2023,391
1164,5124415,Lepidoptera,Sphingidae,Macroglossum,Macroglossum bombylans,,Macroglossum bombylans,Macroglossum bombylans,99,ACCEPTED,EXACT,SPECIES,London06October2023,82
1165,11954157,Lepidoptera,Sphingidae,Macroglossum,Macroglossum corythus,"Walker, 1856",Macroglossum corythus,Macroglossum corythus,99,ACCEPTED,EXACT,SPECIES,London06October2023,47
1166,5124348,Lepidoptera,Sphingidae,Macroglossum,Macroglossum divergens,,Macroglossum divergens,Macroglossum divergens,98,ACCEPTED,EXACT,SPECIES,London06October2023,41
1167,5124358,Lepidoptera,Sphingidae,Macroglossum,Macroglossum multifascia,"Rothschild & Jordan,1903",Macroglossum multifascia,Macroglossum multifascia,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1168,5124414,Lepidoptera,Sphingidae,Macroglossum,Macroglossum prometheus,,Macroglossum prometheus,Macroglossum prometheus,99,ACCEPTED,EXACT,SPECIES,London06October2023,6
1169,5124332,Lepidoptera,Sphingidae,Macroglossum,Macroglossum pyrrhosticta,,Macroglossum pyrrhosticta,Macroglossum pyrrhosticta,98,ACCEPTED,EXACT,SPECIES,London06October2023,223
