accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1859100,Lepidoptera,Pterophoridae,Platyptilia,Platyptilia calodactyla,"Denis & Schiffermüller, 1775",Platyptilia calodactyla,Platyptilia calodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1859177,Lepidoptera,Pterophoridae,Platyptilia,Platyptilia gonodactyla,"Denis & Schiffermüller, 1775",Platyptilia gonodactyla,Platyptilia gonodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4536292,Lepidoptera,Pterophoridae,Platyptilia,Platyptilia isodactylus,"Zeller, 1852",Platyptilia isodactylus,Platyptilia isodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1859146,Lepidoptera,Pterophoridae,Platyptilia,Platyptilia tesseradactyla,"Linnaeus, 1761",Platyptilia tesseradactyla,Platyptilia tesseradactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4536222,Lepidoptera,Pterophoridae,Porrittia,Porrittia galactodactyla,"Denis & Schiffermüller, 1775",Porrittia galactodactyla,Porrittia galactodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858641,Lepidoptera,Pterophoridae,Pselnophorus,Pselnophorus heterodactyla,"Müller, 1764",Pselnophorus heterodactyla,Pselnophorus heterodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5123221,Lepidoptera,Pterophoridae,Pterophorus,Pterophorus pentadactyla,"Linnaeus, 1758",Pterophorus pentadactyla,Pterophorus pentadactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858739,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia annadactyla,"Sutter, 1988",Stenoptilia annadactyla,Stenoptilia annadactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858778,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia bipunctidactyla,"Scopoli, 1763",Stenoptilia bipunctidactyla,Stenoptilia bipunctidactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858743,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia gallobritannidactyla,"Gibeaux, 1985",Stenoptilia gallobritannidactyla,Stenoptilia aridus,96,SYNONYM,FUZZY,SPECIES,London06October2023,0
1858766,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia islandicus,"Staudinger, 1857",Stenoptilia islandicus,Stenoptilia islandicus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4536329,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia millieridactyla,"Bruand, 1861",Stenoptilia millieridactyla,Stenoptilia millieridactylus,97,ACCEPTED,FUZZY,SPECIES,London06October2023,0
1858765,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia pneumonanthes,"Büttner, 1880",Stenoptilia pneumonanthes,Stenoptilia pneumonanthes,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858775,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia pterodactyla,"Linnaeus, 1761",Stenoptilia pterodactyla,Stenoptilia pterodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858762,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia zophodactylus,"Duponchel, 1840",Stenoptilia zophodactylus,Stenoptilia zophodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
6097269,Lepidoptera,Pterophoridae,Wheeleria,Wheeleria spilodactylus,"Curtis, 1827",Wheeleria spilodactylus,Wheeleria spilodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1870988,Lepidoptera,Pyralidae,Achroia,Achroia grisella,"Fabricius, 1794",Achroia grisella,Achroia grisella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4531147,Lepidoptera,Pyralidae,Acrobasis,Acrobasis advenella,"Zincken, 1818",Acrobasis advenella,Acrobasis advenella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1874204,Lepidoptera,Pyralidae,Acrobasis,Acrobasis consociella,"Hübner, 1813",Acrobasis consociella,Acrobasis consociella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
