accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
12238020,Lepidoptera,Psychidae,Pagodiella,Pagodiella hekmeyeri,,Pagodiella hekmeyeri,Pagodiella heckmeyeri,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1858967,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus planeta,"Meyrick, 1908",Deuterocopus planeta,Deuterocopus planeta,99,ACCEPTED,EXACT,SPECIES,London06October2023,9
1858947,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus ritsemae,"Walsingham, 1884",Deuterocopus ritsemae,Deuterocopus ritsemae,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1858953,Lepidoptera,Pterophoridae,Deuterocopus,Deuterocopus socotranus,,Deuterocopus socotranus,Deuterocopus socotranus,99,ACCEPTED,EXACT,SPECIES,London06October2023,24
1859453,Lepidoptera,Pterophoridae,Diacrotricha,Diacrotricha fasciola,"Zeller, 1851",Diacrotricha fasciola,Diacrotricha fasciola,99,ACCEPTED,EXACT,SPECIES,London06October2023,77
6133397,Lepidoptera,Pterophoridae,Exelastis,Exelastis pumilio,,Exelastis pumilio,Exelastis pumilio,99,ACCEPTED,EXACT,SPECIES,London06October2023,161
9749806,Lepidoptera,Pterophoridae,Nippoptilia,Nippoptilia cinctipedalis,,Nippoptilia cinctipedalis,Nippoptilia cinctipedalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,116
5123180,Lepidoptera,Pterophoridae,Pterophorus,Pterophorus lacteipennis,"Walker,1864",Pterophorus lacteipennis,Pterophorus lacteipennis,99,ACCEPTED,EXACT,SPECIES,London06October2023,94
1859932,Lepidoptera,Pterophoridae,Sphenarches,Sphenarches anisodactylus,,Sphenarches anisodactylus,Sphenarches anisodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1859935,Lepidoptera,Pterophoridae,Sphenarches,Sphenarches zanclistes,"Meyrick, 1905",Sphenarches zanclistes,Sphenarches zanclistes,99,ACCEPTED,EXACT,SPECIES,London06October2023,18
1860026,Lepidoptera,Pterophoridae,Stenoptilodes,Stenoptilodes taprobanes,,Stenoptilodes taprobanes,Stenoptilodes taprobanes,99,ACCEPTED,EXACT,SPECIES,London06October2023,236
1860079,Lepidoptera,Pterophoridae,Xyroptila,Xyroptila oenophanes,,Xyroptila oenophanes,Xyroptila oenophanes,99,ACCEPTED,EXACT,SPECIES,London06October2023,26
-1,NotAvail,NotAvail,NotAvail,Canipsa suspensalis,,Canipsa suspensalis,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1875571,Lepidoptera,Pyralidae,Stericta,Stericta sectilis,,Stericta sectilis,Stericta sectilis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1870237,Lepidoptera,Pyralidae,Doloessa,Doloessa viridis,,Doloessa viridis,Doloessa viridis,99,ACCEPTED,EXACT,SPECIES,London06October2023,125
1876542,Lepidoptera,Pyralidae,Galleria,Galleria mellonella,,Galleria mellonella,Galleria mellonella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1873843,Lepidoptera,Pyralidae,Tirathaba,Tirathaba rufivena,,Tirathaba rufivena,Tirathaba rufivena,99,ACCEPTED,EXACT,SPECIES,London06October2023,146
1873861,Lepidoptera,Pyralidae,Tirathaba,Tirathaba ruptilinea,,Tirathaba ruptilinea,Tirathaba ruptilinea,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
5884888,Lepidoptera,Pyralidae,Ectomyelois,Ectomyelois ceratoniae,,Ectomyelois ceratoniae,Ectomyelois ceratoniae,99,ACCEPTED,EXACT,SPECIES,London06October2023,366
1878470,Lepidoptera,Pyralidae,Ephestia,Ephestia elutella,,Ephestia elutella,Ephestia elutella,99,ACCEPTED,EXACT,SPECIES,London06October2023,137
1875483,Lepidoptera,Pyralidae,Ephestiodes,Ephestiodes infimella,,Ephestiodes infimella,Ephestiodes infimella,99,ACCEPTED,EXACT,SPECIES,London06October2023,282
1877788,Lepidoptera,Pyralidae,Canthelea,Epicrocis oegnusalis,,Epicrocis oegnusalis,Canthelea oegnusalis,99,SYNONYM,EXACT,SPECIES,London06October2023,24
1873626,Lepidoptera,Pyralidae,Indomyrlaea,Indomyrlaea ferreotincta,"Hampson, 1912",Indomyrlaea ferreotincta,Indomyrlaea ferreotincta,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
-1,NotAvail,NotAvail,NotAvail,Nephopterix ferreotincta,,Nephopterix ferreotincta,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
-1,NotAvail,NotAvail,NotAvail,Piesmopoda semilutea,,Piesmopoda semilutea,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1873079,Lepidoptera,Pyralidae,Plodia,Plodia interpunctella,,Plodia interpunctella,Plodia interpunctella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1871468,Lepidoptera,Pyralidae,Pseudodavara,Pseudodavara haemaphoralis,,Pseudodavara haemaphoralis,Pseudodavara haemaphoralis,99,ACCEPTED,EXACT,SPECIES,London06October2023,29
-1,NotAvail,NotAvail,NotAvail,Rhodophaea actiosella,,Rhodophaea actiosella,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
5125602,Lepidoptera,Pyralidae,Endotricha,Endotricha mesenterialis,"Walker, 1859",Endotricha mesenterialis,Endotricha mesenterialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1871407,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia costalis,,Hypsopygia costalis,Hypsopygia costalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
-1,NotAvail,NotAvail,NotAvail,Hypsopygia marthalis,,Hypsopygia marthalis,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1871397,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia mauritialis,,Hypsopygia mauritialis,Hypsopygia mauritialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,35
11852179,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia nigrivitta,,Hypsopygia nigrivitta,Hypsopygia nigrivitta,99,ACCEPTED,EXACT,SPECIES,London06October2023,8
1870059,Lepidoptera,Pyralidae,Macna,Macna platychloralis,,Macna platychloralis,Macna platychloralis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
